Song Name,Album,Duration (minutes),Release Year,Popularity
in the end,hybrid theory,3.61,2000,88
numb,meteora,3.13,2003,87
faint,meteora,2.7,2003,84
one step closer,hybrid theory,2.62,2000,82
papercut,hybrid theory,3.08,2000,80
bleed it out,minutes to midnight,2.74,2007,80
what i've done,minutes to midnight,3.42,2007,81
crawling,hybrid theory,3.48,2000,79
somewhere i belong,meteora,3.57,2003,70
numb,numb,3.43,2004,79
given up,minutes to midnight,3.15,2007,77
lying from you,meteora,2.92,2003,66
breaking the habit,meteora,3.27,2003,67
a place for my head,hybrid theory,3.08,2000,74
burn it down,living things,3.84,2012,76
don't stay,meteora,3.13,2003,62
castle of glass,living things,3.42,2012,74
leave out all the rest,minutes to midnight,3.49,2007,71
runaway,hybrid theory,3.07,2000,69
points of authority,hybrid theory,3.34,2000,68
with you,hybrid theory,3.39,2000,67
waiting for the end,a thousand suns,3.86,2010,58
by myself,hybrid theory,3.16,2000,65
fighting myself,meteora 20th anniversary edition,3.36,2023,67
lost,meteora 20th anniversary edition,3.32,2023,68
shadow of the day,minutes to midnight,4.83,2007,66
lost in the echo,living things,3.42,2012,69
no more sorrow,minutes to midnight,3.69,2007,67
figure.09,meteora,3.29,2003,56
numb,meteora,3.13,2003,56
forgotten,hybrid theory,3.24,2000,64
new divide,papercuts,4.48,2024,63
pushing me away,hybrid theory,3.19,2000,64
hit the floor,meteora,2.74,2003,54
the catalyst,a thousand suns,5.66,2010,55
in the end,hybrid theory,3.61,2000,64
from the inside,meteora,2.93,2003,58
breaking the habit,meteora,3.27,2003,54
somewhere i belong,meteora,3.57,2003,53
numb,collision course,3.42,2004,64
iridescent,a thousand suns,4.94,2010,53
faint,meteora,2.7,2003,53
my december,hybrid theory,4.34,2000,60
roads untraveled,living things,3.83,2012,65
points of authority,collision course,4.93,2004,61
in my remains,living things,3.34,2012,64
qwerty,papercuts,3.36,2024,63
more the victim,meteora 20th anniversary edition,2.68,2023,62
easier to run,meteora,3.4,2003,50
from the inside,meteora,2.93,2003,48
cure for the itch,hybrid theory,2.62,2000,56
in pieces,minutes to midnight,3.63,2007,54
high voltage,hybrid theory,3.75,2000,56
powerless,living things,3.74,2012,59
lying from you,meteora,2.92,2003,55
dirt off your shoulder,collision course,4.08,2004,55
wretches and kings,a thousand suns,4.18,2010,46
hands held high,minutes to midnight,3.89,2007,51
valentine's day,minutes to midnight,3.28,2007,52
don't stay,meteora,3.13,2003,55
one step closer,hybrid theory,2.62,2000,59
crawling,hybrid theory,3.48,2000,55
papercut,hybrid theory,3.08,2000,48
the little things give you away,minutes to midnight,6.39,2007,50
figure.09,meteora,3.29,2003,54
hit the floor,meteora,2.74,2003,53
new divide,new divide,4.48,2009,52
session,meteora,2.41,2003,43
i'll be gone,living things,3.52,2012,54
numb,meteora 20th anniversary edition,3.13,2023,51
points of authority,hybrid theory,3.34,2000,48
in between,minutes to midnight,3.28,2007,48
with you,hybrid theory,3.39,2000,47
friendly fire,papercuts,2.95,2024,55
a place for my head,hybrid theory,3.08,2000,51
easier to run,meteora,3.4,2003,52
papercut,hybrid theory,3.17,2000,52
pts.of.athrty,reanimation,3.76,2002,41
krwlng,reanimation,5.67,2002,41
runaway,hybrid theory,3.07,2000,48
lies greed misery,living things,2.44,2012,51
by myself,hybrid theory,3.16,2000,46
somewhere i belong,meteora 20th anniversary edition,3.57,2023,50
skin to bone,living things,2.81,2012,51
enth e nd,reanimation,4.06,2002,40
lying from you,meteora 20th anniversary edition,2.92,2023,49
wth>you,reanimation,4.21,2002,39
forgotten,hybrid theory,3.24,2000,45
breaking the habit,meteora 20th anniversary edition,3.27,2023,49
wake,minutes to midnight,1.68,2007,46
frgt,reanimation,3.54,2002,39
don't stay,meteora 20th anniversary edition,3.14,2023,49
pushing me away,hybrid theory,3.19,2000,45
victimized,living things,1.77,2012,50
faint,meteora 20th anniversary edition,2.7,2023,48
p5hng me a*wy,reanimation,4.63,2002,38
bleed it out,minutes to midnight,2.74,2007,48
given up,minutes to midnight,3.16,2007,49
what i've done,minutes to midnight,3.42,2007,48
plc.4 mie hæd,reanimation,4.35,2002,37
ppr:kut,reanimation,3.44,2002,37
figure.09,meteora 20th anniversary edition,3.29,2023,48
session,meteora,2.41,2003,47
hit the floor,meteora 20th anniversary edition,2.74,2023,47
crawling,one more light live,3.49,2017,52
1stp klosr,reanimation,5.77,2002,37
lying from you,meteora,3.07,2003,37
until it breaks,living things,3.72,2012,47
cure for the itch,hybrid theory,2.62,2000,41
in the end,hybrid theory,3.61,2020,47
leave out all the rest,minutes to midnight,3.49,2007,46
from the inside,meteora 20th anniversary edition,2.93,2023,47
numb,numb,3.43,2004,40
easier to run,meteora 20th anniversary edition,3.4,2023,46
my<dsmbr,reanimation,4.3,2002,36
x,reanimation,1.82,2002,36
h! vltg3,reanimation,3.51,2002,35
crawling,papercuts,3.48,2024,48
faint,papercuts,2.71,2024,48
papercut,hybrid theory,3.08,2020,45
crawling,hybrid theory,3.48,2020,46
shadow of the day,minutes to midnight,4.83,2007,45
breaking the habit,papercuts,3.29,2024,47
rnw@y,reanimation,3.22,2002,35
one more light,papercuts: instrumentals,4.26,2024,48
numb,collision course,3.42,2004,37
papercut,papercuts,3.1,2024,47
by_myslf,reanimation,3.71,2002,34
from the inside,meteora,2.93,2003,35
somewhere i belong,papercuts,3.57,2024,46
one step closer,hybrid theory,2.62,2020,44
in the end,papercuts,3.6,2024,47
bleed it out,papercuts,2.74,2024,47
lost,papercuts,3.32,2024,46
no more sorrow,minutes to midnight,3.7,2007,45
a place for my head,hybrid theory,3.08,2020,43
points of authority,hybrid theory,3.34,2020,43
what i've done,papercuts,3.45,2024,46
waiting for the end,papercuts,3.85,2024,46
crawling,papercuts: instrumentals,3.48,2024,49
easier to run,meteora,3.37,2003,34
one more light,papercuts,4.25,2024,45
castle of glass,papercuts,3.42,2024,46
burn it down,papercuts,3.84,2024,46
numb,papercuts,3.13,2024,45
one more light,one more light live,4.32,2017,46
kyur4 th ich,reanimation,2.54,2002,32
numb,papercuts,3.44,2024,46
faint,papercuts: instrumentals,2.71,2024,47
runaway,hybrid theory,3.07,2020,42
session,meteora 20th anniversary edition,2.41,2023,43
with you,hybrid theory,3.39,2020,43
leave out all the rest,papercuts,3.32,2024,45
one step closer,papercuts,2.59,2024,44
by myself,hybrid theory,3.16,2020,41
waiting for the end,waiting for the end,3.86,2010,42
in pieces,minutes to midnight,3.63,2007,42
in the end,papercuts: instrumentals,3.61,2024,45
castle of glass,recharged,6.34,2013,41
one step closer,reanimation,3.71,2002,31
bleed it out,minutes to midnight,2.74,2007,33
papercut,papercuts: instrumentals,3.07,2024,45
papercut,live in texas,3.1,2003,47
forgotten,hybrid theory,3.24,2020,40
hands held high,minutes to midnight,3.89,2007,41
the little things give you away,minutes to midnight,6.39,2007,41
numb,papercuts: instrumentals,3.42,2024,46
pushing me away,hybrid theory,3.19,2020,41
valentine's day,minutes to midnight,3.28,2007,41
lying from you,live in texas,3.12,2003,45
somewhere i belong,live in texas,3.63,2003,46
don't stay,meteora 20th anniversary edition,3.32,2023,42
lying from you,meteora 20th anniversary edition,3.11,2023,45
breaking the habit,papercuts: instrumentals,3.26,2024,44
faint,live in texas,2.78,2003,46
one step closer,live in texas,4.22,2003,44
in between,minutes to midnight,3.28,2007,40
leave out all the rest,one more light live,4.85,2017,44
papercut,meteora 20th anniversary edition,3.11,2023,42
somewhere i belong,meteora 20th anniversary edition,3.59,2023,42
points of authority,live in texas,3.42,2003,44
somewhere i belong,papercuts: instrumentals,3.57,2024,43
a place for my head,meteora 20th anniversary edition,3.95,2023,42
bleed it out,papercuts: instrumentals,2.74,2024,43
p5hng me a*wy,live in texas,5.09,2003,43
papercut,hybrid theory,3.08,2000,58
fighting myself,lost demos,3.36,2023,36
step up,hybrid theory,3.91,2020,38
one step closer,hybrid theory,2.62,2000,51
crawling,hybrid theory,3.48,2000,51
wake,minutes to midnight,1.68,2007,38
in the end,hybrid theory,3.81,2020,37
with you,meteora 20th anniversary edition,3.33,2023,41
numb,live in texas,3.11,2003,43
in the end,one more light live,3.8,2017,42
my december,reanimation,4.45,2002,27
given up,road to revolution,3.26,2008,40
runaway,live in texas,3.19,2003,43
given up,minutes to midnight,3.15,2007,37
points of authority,meteora 20th anniversary edition,3.43,2023,40
faint,meteora 20th anniversary edition,2.77,2023,40
in the end,live in texas,3.53,2003,44
in the end,hybrid theory,3.61,2000,51
given up,minutes to midnight,3.16,2007,29
waiting for the end,papercuts: instrumentals,3.85,2024,42
crawling,live in texas,3.56,2003,43
figure.09,meteora 20th anniversary edition,3.39,2023,36
figure.09,meteora 20th anniversary edition,3.86,2023,40
from the inside,live in texas,3.08,2003,43
burn it down,living things: acapellas and instrumentals,2.94,2012,43
runaway,meteora 20th anniversary edition,3.12,2023,40
by myself,meteora 20th anniversary edition,4.12,2023,40
castle of glass,papercuts: instrumentals,3.42,2024,41
waiting for the end,waiting for the end,3.86,2010,35
i'll be gone,recharged,4.01,2013,34
more the victim,lost demos,2.68,2023,36
what i've done,papercuts: instrumentals,3.47,2024,40
faint,meteora 20th anniversary edition,3.19,2023,35
burn it down,one more light live,4.23,2017,40
one step closer,meteora 20th anniversary edition,4.02,2023,39
numb,one more light live,3.84,2017,40
p5hng me a*wy,meteora 20th anniversary edition,5.08,2023,39
numb,papercuts: instrumentals,3.1,2024,39
lost in the echo,recharged,5.15,2013,35
what i've done,one more light live,4.56,2017,40
faint,meteora 20th anniversary edition,3.93,2023,35
new divide,papercuts: instrumentals,4.5,2024,39
castle of glass,living things: acapellas and instrumentals,2.82,2012,38
from the inside,meteora 20th anniversary edition,3.01,2023,39
one step closer,papercuts: instrumentals,2.59,2024,39
numb,meteora 20th anniversary edition,3.24,2023,38
new divide,one more light live,4.51,2017,40
burn it down,papercuts: instrumentals,3.84,2024,40
bleed it out,one more light live,4.95,2017,39
numb,numb,3.45,2004,34
cure for the itch,hybrid theory,2.62,2020,35
heavy,one more light live,2.94,2017,39
lost,lost demos,3.32,2023,35
what i've done,minutes to midnight,3.79,2007,34
new divide,new divide,3.93,2009,30
crawling,meteora 20th anniversary edition,3.69,2023,38
qwerty,papercuts: instrumentals,3.36,2024,39
leave out all the rest,papercuts: instrumentals,3.32,2024,38
pts.of.athrty,hybrid theory,3.76,2020,34
in the end,meteora 20th anniversary edition,4.06,2023,38
enth e nd,hybrid theory,4.0,2020,34
what i've done,minutes to midnight,3.42,2007,29
lost,papercuts: instrumentals,3.36,2024,38
burn it down,recharged,4.77,2013,33
high voltage,hybrid theory,3.5,2020,33
frgt,hybrid theory,3.53,2020,33
a place for my head,hybrid theory,3.08,2000,49
points of authority,hybrid theory,3.34,2000,50
friendly fire,papercuts: instrumentals,2.94,2024,37
krwlng,hybrid theory,5.67,2020,34
breaking the habit,meteora live around the world,4.27,2012,35
crawling,hybrid theory,3.83,2020,32
wth>you,hybrid theory,4.21,2020,33
one step closer,meteora 20th anniversary edition,3.96,2023,33
roads untraveled,recharged,5.47,2013,32
one step closer,road to revolution,4.12,2008,35
one step closer,hybrid theory live around the world,4.22,2012,34
pushing me away,road to revolution,3.31,2008,34
p5hng me a*wy,hybrid theory,4.63,2020,33
victimized,recharged,3.0,2013,31
dirt off your shoulder,collision course,4.08,2004,24
somewhere i belong,meteora live around the world,4.15,2012,34
powerless,recharged,6.13,2013,31
bleed it out,road to revolution,8.25,2008,34
lies greed misery,recharged,4.84,2013,31
somewhere i belong,meteora 20th anniversary edition,3.62,2023,34
bleed it out,minutes to midnight live around the world,5.56,2012,34
plc.4 mie hæd,hybrid theory,4.35,2020,31
don't stay,meteora 20th anniversary edition,3.26,2023,34
the catalyst,a thousand suns live around the world,5.9,2012,40
crawling,hybrid theory live around the world,4.68,2012,33
one step closer,hybrid theory,2.62,2020,31
faint,meteora 20th anniversary edition,2.77,2023,33
given up,minutes to midnight live around the world,3.31,2012,35
with you,hybrid theory,3.39,2000,50
i'll be gone,recharged,6.19,2013,30
no more sorrow,road to revolution,5.11,2008,34
points of authority,hybrid theory,3.35,2020,30
